% Model:              Testfile_Rectangle.mph
% Version:            COMSOL 5.2.1.152
% Date:               Jun 22 2016, 14:21
% Table:              Full_EV_D - Full_EV_D (lambda, abs(lambda))
% Omega                                           lambda (rad/s)
127427.49857031321                                -0.3821058676445643-6.080181039922594E-15i
263665.08987303555                                -2.956209014652138E-13-4.442882518583939i
263665.08987303555                                -0.8105693201995503
263665.08987303555                                -2.956209014652138E-13+4.442882518583939i
263665.08987303555                                -0.8105693201995503
263665.08987303555                                -4.368263083532086E-12-7.023969249676683i
263665.08987303555                                -6.259486098599005E-4+1.5740212502091997E-15i
263665.08987303555                                -4.368263083532086E-12+7.023969249676683i
263665.08987303555                                -6.259486098599005E-4-1.5740212502091997E-15i
263665.08987303555                                4.6414123557089436E-12-7.025659060020532i
263665.08987303555                                -6.260294422548965E-4-6.585600266638277E-16i
263665.08987303555                                4.6414123557089436E-12+7.025659060020532i
263665.08987303555                                -6.260294422548965E-4+6.585600266638277E-16i
263665.08987303555                                9.256957267982225E-14-8.885762529835391i
263665.08987303555                                -9.409210922864244E-7+1.693726092590373E-17i
263665.08987303555                                9.256957267982225E-14+8.885762529835391i
263665.08987303555                                -9.409210922864244E-7-1.693726092590373E-17i
263665.08987303555                                1.2306642195744198E-10-9.934587208485091i
263665.08987303555                                -0.3821050900739628-8.621193671707133E-16i
263665.08987303555                                1.2306642195744198E-10+9.934587208485091i
263665.08987303555                                -0.3821050900739628+8.621193671707133E-16i
545559.4781168514                                 4.635097808846354E-14-4.442881141846387i
545559.4781168514                                 -0.8105688314825805
545559.4781168514                                 4.635097808846354E-14+4.442881141846387i
545559.4781168514                                 -0.8105688314825805
545559.4781168514                                 -1.247791753016548E-12-7.0230640441924805i
545559.4781168514                                 -0.001295081398239093+6.376096666094171E-15i
545559.4781168514                                 -1.247791753016548E-12+7.0230640441924805i
545559.4781168514                                 -0.001295081398239093-6.376096666094171E-15i
545559.4781168514                                 1.3374185251036952E-12-7.026560484156221i
545559.4781168514                                 -0.0012954274443781782+5.335947545612285E-16i
545559.4781168514                                 1.3374185251036952E-12+7.026560484156221i
545559.4781168514                                 -0.0012954274443781782-5.335947545612285E-16i
545559.4781168514                                 2.39919885276231E-13-8.885751549114925i
545559.4781168514                                 -4.028360868904894E-6-1.1206592429152265E-17i
545559.4781168514                                 2.39919885276231E-13+8.885751549114925i
545559.4781168514                                 -4.028360868904894E-6+1.1206592429152265E-17i
545559.4781168514                                 1.3602720778721814E-10-9.934583737429232i
545559.4781168514                                 -0.38210173254466023+4.092164337326339E-15i
545559.4781168514                                 1.3602720778721814E-10+9.934583737429232i
545559.4781168514                                 -0.38210173254466023-4.092164337326339E-15i
1128837.8916846884                                -3.083576873327378E-14-4.442875247650844i
1128837.8916846884                                -0.8105667391564577
1128837.8916846884                                -3.083576873327378E-14+4.442875247650844i
1128837.8916846884                                -0.8105667391564577
1128837.8916846884                                -3.4785174327309242E-12-7.021186909800238i
1128837.8916846884                                -0.002679290160327172+2.8677050599391862E-15i
1128837.8916846884                                -3.4785174327309242E-12+7.021186909800238i
1128837.8916846884                                -0.002679290160327172-2.8677050599391862E-15i
1128837.8916846884                                3.5616423127458846E-12-7.028421429669828i
1128837.8916846884                                -0.0026807716737782704-1.948758927781851E-15i
1128837.8916846884                                3.5616423127458846E-12+7.028421429669828i
1128837.8916846884                                -0.0026807716737782704+1.948758927781851E-15i
1128837.8916846884                                4.4228409363599466E-14-8.885704540189911i
1128837.8916846884                                -1.724593959670811E-5-5.682786446475252E-17i
1128837.8916846884                                4.4228409363599466E-14+8.885704540189911i
1128837.8916846884                                -1.724593959670811E-5+5.682786446475252E-17i
1128837.8916846884                                -5.1486019154475044E-9-9.934568875549918i
1128837.8916846884                                -0.3820873538883391+2.893254053826045E-15i
1128837.8916846884                                -5.1486019154475044E-9+9.934568875549918i
1128837.8916846884                                -0.3820873538883391-2.893254053826045E-15i
2335721.4690901213                                -8.733878086811464E-14-4.442850014769605i
2335721.4690901213                                -0.8105577818290999
2335721.4690901213                                -8.733878086811464E-14+4.442850014769605i
2335721.4690901213                                -0.8105577818290999
2335721.4690901213                                1.1427071772025682E-12-7.017285338226158i
2335721.4690901213                                -0.005541923032339611+4.355921100004833E-15i
2335721.4690901213                                1.1427071772025682E-12+7.017285338226158i
2335721.4690901213                                -0.005541923032339611-4.355921100004833E-15i
2335721.4690901213                                -1.1725702954924704E-12-7.032253697709187i
2335721.4690901213                                -0.005548265402606045-9.92822615355014E-16i
2335721.4690901213                                -1.1725702954924704E-12+7.032253697709187i
2335721.4690901213                                -0.005548265402606045+9.92822615355014E-16i
2335721.4690901213                                4.2575187254556374E-15-8.885503338846833i
2335721.4690901213                                -7.382052290472625E-5-3.9707817962149435E-17i
2335721.4690901213                                4.2575187254556374E-15+8.885503338846833i
2335721.4690901213                                -7.382052290472625E-5+3.9707817962149435E-17i
2335721.4690901213                                -8.690252941433603E-11-9.934505269779958i
2335721.4690901213                                -0.3820258355166093-4.707446867429891E-16i
2335721.4690901213                                -8.690252941433603E-11+9.934505269779958i
2335721.4690901213                                -0.3820258355166093+4.707446867429891E-16i
4832930.238571752                                 1.34722738161305E-13-4.44274202219919i
4832930.238571752                                 -0.8105194438194616
4832930.238571752                                 1.34722738161305E-13+4.44274202219919i
4832930.238571752                                 -0.8105194438194616
4832930.238571752                                 -5.889630586391244E-13-7.009139232171681i
4832930.238571752                                 -0.011457691617362577-4.350467129303718E-15i
4832930.238571752                                 -5.889630586391244E-13+7.009139232171681i
4832930.238571752                                 -0.011457691617362577+4.350467129303718E-15i
4832930.238571752                                 6.010500922750386E-13-7.040103208798559i
4832930.238571752                                 -0.011484837606248936-1.7683621371255642E-15i
4832930.238571752                                 6.010500922750386E-13+7.040103208798559i
4832930.238571752                                 -0.011484837606248936+1.7683621371255642E-15i
4832930.238571752                                 1.028799741660995E-15-8.884643016154424i
4832930.238571752                                 -3.1577344570916385E-4+6.518501691453691E-19i
4832930.238571752                                 1.028799741660995E-15+8.884643016154424i
4832930.238571752                                 -3.1577344570916385E-4-6.518501691453691E-19i
4832930.238571752                                 2.744804868999915E-10-9.93423307434985i
4832930.238571752                                 -0.3817625422780993-1.7212473348144045E-16i
4832930.238571752                                 2.744804868999915E-10+9.93423307434985i
4832930.238571752                                 -0.3817625422780993+1.7212473348144045E-16i
10000000                                          -4.303414484425113E-14-4.442280362727138i
10000000                                          -0.8103555127189052
10000000                                          -4.303414484425113E-14+4.442280362727138i
10000000                                          -0.8103555127189052
10000000                                          -1.149818392066995E-13-6.99198674557173i
10000000                                          -0.02365722997910677+6.5839681664978164E-15i
10000000                                          -1.149818392066995E-13+6.99198674557173i
10000000                                          -0.02365722997910677-6.5839681664978164E-15i
10000000                                          1.3264324961727406E-13-7.055988007598183i
10000000                                          -0.023773308335919684+6.329503378825349E-16i
10000000                                          1.3264324961727406E-13+7.055988007598183i
10000000                                          -0.023773308335919684-6.329503378825349E-16i
10000000                                          -7.232067317821992E-14-8.880979461333501i
10000000                                          -0.0013469009065230388+1.2833304201365789E-16i
10000000                                          -7.232067317821992E-14+8.880979461333501i
10000000                                          -0.0013469009065230388-1.2833304201365789E-16i
10000000                                          -2.71410363181912E-10-9.933069850103871i
10000000                                          -0.38063739472472313-4.472809664801179E-16i
10000000                                          -2.71410363181912E-10+9.933069850103871i
10000000                                          -0.38063739472472313+4.472809664801179E-16i
